0,11.0267,40333.55,0.000001
1,11.0059,119962.77,0.000002
2,10.9710,118491.30,0.000003
3,10.9253,118691.71,0.000003
4,10.8583,121987.84,0.000004
5,10.7865,120338.06,0.000005
6,10.6965,120314.02,0.000006
7,10.6053,120174.66,0.000007
8,10.5132,119521.39,0.000008
9,10.4234,119272.24,0.000008
10,10.3371,119940.04,0.000009
11,10.2532,119871.10,0.000010
12,10.1806,120329.28,0.000011
13,10.1187,119911.45,0.000012
14,10.0487,120318.22,0.000013
15,9.9917,120220.28,0.000013
16,9.9304,120144.48,0.000014
17,9.8827,119873.93,0.000015
18,9.8191,120137.96,0.000016
19,9.7576,120031.74,0.000017
20,9.7272,119968.37,0.000018
21,9.6907,120075.51,0.000018
22,9.6351,119818.73,0.000019
23,9.6533,120328.35,0.000020
24,9.5880,119966.53,0.000021
25,9.5867,119776.18,0.000022
26,9.5213,119488.39,0.000023
27,9.5189,115130.93,0.000023
28,9.5200,118094.23,0.000024
29,9.4793,120217.14,0.000025
30,9.4652,120211.50,0.000026
31,9.4253,120048.74,0.000027
32,9.4023,119944.46,0.000028
33,9.3588,119963.02,0.000029
34,9.4018,120186.41,0.000029
35,9.3210,119965.47,0.000030
36,9.3069,120002.41,0.000031
37,9.2846,120177.31,0.000032
38,9.2487,118489.36,0.000033
39,9.2378,120507.36,0.000034
40,9.1917,121958.53,0.000034
41,9.1537,119528.80,0.000035
42,9.1551,115568.93,0.000036
43,9.1088,115548.26,0.000037
44,9.0681,114685.22,0.000038
45,9.0498,117654.10,0.000039
46,8.9937,120113.31,0.000039
47,8.9666,120078.71,0.000040
48,8.9536,120119.11,0.000041
49,8.9076,120108.37,0.000042
50,8.8992,120200.93,0.000043
51,8.8304,114899.71,0.000044
52,8.7935,117382.19,0.000044
53,8.8068,119218.85,0.000045
54,8.7330,119215.98,0.000046
55,8.7014,118472.52,0.000047
56,8.6458,119269.91,0.000048
57,8.6226,119377.24,0.000049
58,8.5631,119303.33,0.000050
59,8.5466,119227.00,0.000050
60,8.5185,119189.50,0.000051
61,8.4829,119030.53,0.000052
62,8.4455,119050.11,0.000053
63,8.3882,119028.27,0.000054
64,8.3649,119124.60,0.000055
65,8.3458,119116.63,0.000055
66,8.2628,119118.46,0.000056
67,8.2624,119062.81,0.000057
68,8.2035,119064.73,0.000058
69,8.1425,118914.42,0.000059
70,8.0458,118872.72,0.000060
71,8.0419,119070.73,0.000060
72,8.0729,119064.36,0.000061
73,8.0317,119150.93,0.000062
74,7.9153,119199.26,0.000063
75,7.9842,119173.45,0.000064
76,7.8456,119183.40,0.000065
77,7.8435,119073.45,0.000065
78,7.7635,119084.31,0.000066
79,7.7704,119108.76,0.000067
80,7.7616,119081.13,0.000068
81,7.7410,119043.32,0.000069
82,7.7334,119218.83,0.000070
83,7.7624,119249.06,0.000070
84,7.7190,119036.77,0.000071
85,7.6609,118921.17,0.000072
86,7.6476,118882.09,0.000073
87,7.6528,119053.71,0.000074
88,7.6146,119105.68,0.000075
89,7.5697,119275.06,0.000076
90,7.5792,118966.12,0.000076
91,7.5375,118715.85,0.000077
92,7.5310,119076.84,0.000078
93,7.4645,119093.78,0.000079
94,7.4785,118757.21,0.000080
95,7.4281,118614.32,0.000081
96,7.3672,119030.79,0.000081
97,7.4675,118993.97,0.000082
98,7.4431,119147.94,0.000083
99,7.3756,119100.24,0.000084
100,7.3562,119102.75,0.000085
101,7.3483,119604.34,0.000086
102,7.3219,119490.67,0.000086
103,7.2603,119074.53,0.000087
